"date,""min"",""max"",""median"",""q1"",""q3"",""stdev"",""count"""
"7/26/2020,""1.32"",""14.5"",""2.65"",""2.15"",""4.8"",""3.269"",""440"""
"7/27/2020,""1.22"",""12.53"",""3.69"",""2.5"",""6.92"",""3.074"",""278"""
"7/28/2020,""1.35"",""69.27"",""3.42"",""2.58"",""4.87"",""5.795"",""419"""
"7/29/2020,""0.78"",""24.8"",""2.89"",""2"",""3.75"",""1.99"",""332"""
"7/30/2020,""1.6"",""15.53"",""5.62"",""2.72"",""8.5"",""3.425"",""376"""
"7/31/2020,""3.52"",""20.17"",""11.85"",""8.34"",""14.28"",""4.248"",""373"""
"8/1/2020,""0.5"",""14.75"",""1.5"",""0.95"",""4.87"",""3.857"",""359"""
"8/2/2020,""0.68"",""16.07"",""1.9"",""1.23"",""4.13"",""2.171"",""313"""
"8/3/2020,""0.62"",""35.35"",""3.38"",""1.73"",""6.45"",""4.958"",""352"""
"8/4/2020,""0.9"",""14.47"",""3.54"",""1.67"",""8.77"",""3.893"",""402"""
"8/5/2020,""2.17"",""20.72"",""5.2"",""3.77"",""9.35"",""4.169"",""420"""
"8/6/2020,""2.83"",""10.95"",""5.03"",""4.47"",""5.66"",""1.087"",""336"""
"8/7/2020,""2.25"",""13.7"",""6.16"",""4"",""8"",""2.635"",""430"""
"8/8/2020,""1.6"",""10.4"",""4.3"",""2.9"",""6.05"",""2.106"",""383"""
"8/9/2020,""0.42"",""8.27"",""2.45"",""1.25"",""3.8"",""1.68"",""447"""
"8/10/2020,""0.93"",""15.7"",""5.12"",""1.8"",""7.96"",""3.306"",""421"""
"8/11/2020,""1.6"",""20.88"",""5.46"",""3.51"",""8.99"",""3.724"",""436"""
"8/12/2020,""1.02"",""57.93"",""3.52"",""2.37"",""7.7"",""4.525"",""442"""
"8/13/2020,""0.2"",""27.2"",""2.4"",""1.12"",""3.62"",""2.064"",""427"""
"8/14/2020,""1.02"",""23.57"",""3.27"",""1.8"",""4.65"",""2.289"",""381"""
"8/15/2020,""0.95"",""22.67"",""4.3"",""2.17"",""5.72"",""3.6"",""462"""
"8/16/2020,""1.35"",""16.2"",""3.9"",""2.22"",""6.65"",""2.863"",""462"""
"8/17/2020,""1.72"",""22.85"",""5.22"",""2.6"",""7.25"",""2.908"",""463"""
"8/18/2020,""2.47"",""124.62"",""9.43"",""5.64"",""12.03"",""8.106"",""445"""
"8/19/2020,""2.47"",""41.7"",""8.35"",""5.03"",""10.57"",""4.739"",""437"""
"8/20/2020,""2.7"",""38.79"",""5.78"",""4.22"",""8.88"",""4.024"",""452"""
"8/21/2020,""2.6"",""13.85"",""4.84"",""3.9"",""6.7"",""2.195"",""421"""
"8/22/2020,""1.6"",""22.8"",""4.28"",""3.2"",""6.33"",""3.618"",""411"""
"8/23/2020,""0.93"",""47.7"",""5.16"",""2"",""8.43"",""8.669"",""408"""
"8/24/2020,""0.93"",""48.45"",""5.47"",""2.99"",""7.52"",""5.251"",""329"""
"8/25/2020,""2.72"",""15.23"",""7.47"",""4.22"",""10.16"",""3.448"",""381"""
"8/26/2020,""2.9"",""18.87"",""5.54"",""4.47"",""10.68"",""3.372"",""374"""
"8/27/2020,""0.8"",""29.1"",""3.45"",""1.6"",""5.55"",""4.082"",""446"""
"8/28/2020,""0.3"",""20.07"",""2.4"",""1.12"",""4.21"",""2.367"",""404"""
"8/29/2020,""0.35"",""28.67"",""2.58"",""1.72"",""6.45"",""3.676"",""406"""
"8/30/2020,""0.78"",""106.45"",""4.26"",""1.74"",""7.73"",""8.069"",""401"""
"8/31/2020,""0.6"",""9.83"",""4.05"",""1.5"",""6.03"",""2.478"",""395"""
"9/1/2020,""1.75"",""11.78"",""4.55"",""2.97"",""6.99"",""2.368"",""353"""
"9/2/2020,""1.25"",""36.1"",""9.9"",""3.25"",""13.1"",""8.169"",""463"""
"9/3/2020,""2.17"",""54.05"",""6.03"",""4.19"",""14.49"",""7.414"",""457"""
"9/4/2020,""1.07"",""7.08"",""3.4"",""2.9"",""3.87"",""0.86"",""415"""
"9/5/2020,""1.47"",""12.95"",""4.05"",""2.8"",""6.9"",""2.584"",""355"""
"9/6/2020,""1.87"",""17.52"",""4.92"",""3.9"",""7.03"",""2.698"",""467"""
"9/7/2020,""2.45"",""26"",""6.28"",""4.4"",""13.08"",""6.16"",""435"""
"9/8/2020,""0.62"",""43.68"",""5.97"",""3.55"",""16.73"",""8.048"",""379"""
"9/9/2020,""0.8"",""21.5"",""3.1"",""1.79"",""5.2"",""3.087"",""397"""
"9/10/2020,""1.1"",""98.6"",""3.21"",""1.99"",""7.79"",""6.763"",""344"""
"9/11/2020,""1.75"",""10.45"",""3.67"",""3.15"",""4.28"",""1.214"",""309"""
"9/12/2020,""1.57"",""37.45"",""4.87"",""2.71"",""9.5"",""5.227"",""289"""
"9/13/2020,""2.47"",""29.32"",""4.67"",""3.65"",""7.14"",""4.215"",""348"""
"9/14/2020,""1.37"",""38.6"",""5"",""3.47"",""9.15"",""5.038"",""286"""
"9/15/2020,""0.7"",""13.55"",""2.54"",""1.47"",""4.13"",""2.194"",""245"""
"9/16/2020,""4.92"",""7.67"",""6.25"",""5.82"",""6.77"",""0.597"",""37"""
"9/17/2020,""0.65"",""12.53"",""2.33"",""1.04"",""6.41"",""3.609"",""149"""
"9/18/2020,""0.56"",""12.23"",""1.92"",""1.22"",""4.72"",""2.396"",""223"""
